candidate_index,A,B,C,D,E,role_pairs,unique_hits,miss_reasons
78964,3,5,0,4,9,03_05 05_00 04_00 04_09,3,AB:missing_target_anchor_edge
78970,3,5,0,6,1,03_05 05_00 06_00 06_01,3,AB:missing_target_anchor_edge
78978,3,5,0,6,12,03_05 05_00 06_00 06_12,3,AB:missing_target_anchor_edge
78979,3,5,0,6,13,03_05 05_00 06_00 06_13,3,AB:missing_target_anchor_edge
79333,3,5,4,0,1,03_05 05_04 00_04 00_01,3,AB:missing_target_anchor_edge
79335,3,5,4,0,6,03_05 05_04 00_04 00_06,3,AB:missing_target_anchor_edge
79406,3,5,4,9,11,03_05 05_04 09_04 09_11,3,AB:missing_target_anchor_edge
79407,3,5,4,9,12,03_05 05_04 09_04 09_12,3,AB:missing_target_anchor_edge
80049,3,5,10,7,1,03_05 05_10 07_10 07_01,3,AB:missing_target_anchor_edge
80050,3,5,10,7,2,03_05 05_10 07_10 07_02,3,AB:missing_target_anchor_edge
80055,3,5,10,7,11,03_05 05_10 07_10 07_11,3,AB:missing_target_anchor_edge
80086,3,5,10,11,7,03_05 05_10 11_10 11_07,3,AB:missing_target_anchor_edge
80088,3,5,10,11,9,03_05 05_10 11_10 11_09,3,AB:missing_target_anchor_edge
80089,3,5,10,11,12,03_05 05_10 11_10 11_12,3,AB:missing_target_anchor_edge
80120,3,5,10,14,8,03_05 05_10 14_10 14_08,3,AB:missing_target_anchor_edge
80124,3,5,10,14,13,03_05 05_10 14_10 14_13,3,AB:missing_target_anchor_edge
80589,3,5,14,8,2,03_05 05_14 08_14 08_02,3,AB:missing_target_anchor_edge
80597,3,5,14,8,13,03_05 05_14 08_14 08_13,3,AB:missing_target_anchor_edge
80614,3,5,14,10,7,03_05 05_14 10_14 10_07,3,AB:missing_target_anchor_edge
80617,3,5,14,10,11,03_05 05_14 10_14 10_11,3,AB:missing_target_anchor_edge
80646,3,5,14,13,6,03_05 05_14 13_14 13_06,3,AB:missing_target_anchor_edge
80648,3,5,14,13,8,03_05 05_14 13_14 13_08,3,AB:missing_target_anchor_edge
80652,3,5,14,13,12,03_05 05_14 13_14 13_12,3,AB:missing_target_anchor_edge
80653,3,6,0,1,2,03_06 06_00 01_00 01_02,3,AB:missing_target_anchor_edge
80656,3,6,0,1,7,03_06 06_00 01_00 01_07,3,AB:missing_target_anchor_edge
80677,3,6,0,4,5,03_06 06_00 04_00 04_05,3,AB:missing_target_anchor_edge
80680,3,6,0,4,9,03_06 06_00 04_00 04_09,3,AB:missing_target_anchor_edge
80688,3,6,0,5,4,03_06 06_00 05_00 05_04,3,AB:missing_target_anchor_edge
80692,3,6,0,5,10,03_06 06_00 05_00 05_10,3,AB:missing_target_anchor_edge
80696,3,6,0,5,14,03_06 06_00 05_00 05_14,3,AB:missing_target_anchor_edge
80786,3,6,1,0,4,03_06 06_01 00_01 00_04,3,AB:missing_target_anchor_edge
80787,3,6,1,0,5,03_06 06_01 00_01 00_05,3,AB:missing_target_anchor_edge
80799,3,6,1,2,7,03_06 06_01 02_01 02_07,3,AB:missing_target_anchor_edge
80800,3,6,1,2,8,03_06 06_01 02_01 02_08,3,AB:missing_target_anchor_edge
80830,3,6,1,7,2,03_06 06_01 07_01 07_02,3,AB:missing_target_anchor_edge
80835,3,6,1,7,10,03_06 06_01 07_01 07_10,3,AB:missing_target_anchor_edge
80836,3,6,1,7,11,03_06 06_01 07_01 07_11,3,AB:missing_target_anchor_edge
82053,3,6,12,9,4,03_06 06_12 09_12 09_04,3,AB:missing_target_anchor_edge
82058,3,6,12,9,11,03_06 06_12 09_12 09_11,3,AB:missing_target_anchor_edge
82077,3,6,12,11,7,03_06 06_12 11_12 11_07,3,AB:missing_target_anchor_edge
82079,3,6,12,11,9,03_06 06_12 11_12 11_09,3,AB:missing_target_anchor_edge
82080,3,6,12,11,10,03_06 06_12 11_12 11_10,3,AB:missing_target_anchor_edge
82089,3,6,12,13,8,03_06 06_12 13_12 13_08,3,AB:missing_target_anchor_edge
82093,3,6,12,13,14,03_06 06_12 13_12 13_14,3,AB:missing_target_anchor_edge
82173,3,6,13,8,2,03_06 06_13 08_13 08_02,3,AB:missing_target_anchor_edge
82181,3,6,13,8,14,03_06 06_13 08_13 08_14,3,AB:missing_target_anchor_edge
82222,3,6,13,12,9,03_06 06_13 12_13 12_09,3,AB:missing_target_anchor_edge
82224,3,6,13,12,11,03_06 06_13 12_13 12_11,3,AB:missing_target_anchor_edge
82230,3,6,13,14,5,03_06 06_13 14_13 14_05,3,AB:missing_target_anchor_edge
82232,3,6,13,14,8,03_06 06_13 14_13 14_08,3,AB:missing_target_anchor_edge
82234,3,6,13,14,10,03_06 06_13 14_13 14_10,3,AB:missing_target_anchor_edge
82502,3,7,1,0,4,03_07 07_01 00_01 00_04,3,AB:missing_target_anchor_edge
82503,3,7,1,0,5,03_07 07_01 00_01 00_05,3,AB:missing_target_anchor_edge
82504,3,7,1,0,6,03_07 07_01 00_01 00_06,3,AB:missing_target_anchor_edge
82516,3,7,1,2,8,03_07 07_01 02_01 02_08,3,AB:missing_target_anchor_edge
82545,3,7,1,6,0,03_07 07_01 06_01 06_00,3,AB:missing_target_anchor_edge
82553,3,7,1,6,12,03_07 07_01 06_01 06_12,3,AB:missing_target_anchor_edge
82554,3,7,1,6,13,03_07 07_01 06_01 06_13,3,AB:missing_target_anchor_edge
82644,3,7,2,1,0,03_07 07_02 01_02 01_00,3,AB:missing_target_anchor_edge
82647,3,7,2,1,6,03_07 07_02 01_02 01_06,3,AB:missing_target_anchor_edge
82697,3,7,2,8,13,03_07 07_02 08_02 08_13,3,AB:missing_target_anchor_edge
82698,3,7,2,8,14,03_07 07_02 08_02 08_14,3,AB:missing_target_anchor_edge
83469,3,7,10,5,0,03_07 07_10 05_10 05_00,3,AB:missing_target_anchor_edge
83472,3,7,10,5,4,03_07 07_10 05_10 05_04,3,AB:missing_target_anchor_edge
83479,3,7,10,5,14,03_07 07_10 05_10 05_14,3,AB:missing_target_anchor_edge
83520,3,7,10,11,9,03_07 07_10 11_10 11_09,3,AB:missing_target_anchor_edge
83521,3,7,10,11,12,03_07 07_10 11_10 11_12,3,AB:missing_target_anchor_edge
83550,3,7,10,14,5,03_07 07_10 14_10 14_05,3,AB:missing_target_anchor_edge
83552,3,7,10,14,8,03_07 07_10 14_10 14_08,3,AB:missing_target_anchor_edge
83556,3,7,10,14,13,03_07 07_10 14_10 14_13,3,AB:missing_target_anchor_edge
83637,3,7,11,9,4,03_07 07_11 09_11 09_04,3,AB:missing_target_anchor_edge
83642,3,7,11,9,12,03_07 07_11 09_11 09_12,3,AB:missing_target_anchor_edge
83649,3,7,11,10,5,03_07 07_11 10_11 10_05,3,AB:missing_target_anchor_edge
83655,3,7,11,10,14,03_07 07_11 10_11 10_14,3,AB:missing_target_anchor_edge
