candidate_kind,source_rail_id,target_rail_id,reason,evidence,admitted_as_channel
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_00_04_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=16 edge_overlap=4,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_00_05_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=15 edge_overlap=4,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_00_06_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=15 edge_overlap=4,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_01_02_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=4 edge_overlap=0,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_01_06_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=8 edge_overlap=0,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_01_07_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=4 edge_overlap=0,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_02_03_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=1 edge_overlap=0,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_03_04_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=6 edge_overlap=1,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_03_08_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=1 edge_overlap=0,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_03_09_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=1 edge_overlap=0,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_04_05_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=9 edge_overlap=0,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_04_09_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=5 edge_overlap=0,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_05_10_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=4 edge_overlap=0,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_05_14_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=4 edge_overlap=0,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_06_12_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=4 edge_overlap=0,False
support_overlap_handle,root_0_0_tuple_shell_depth_2,slot_pair_06_13_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=4 edge_overlap=0,False
support_overlap_handle,slot_00_internal_carrier,slot_pair_00_01_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_00_internal_carrier,slot_pair_00_04_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
